Batch Size,Max Tokens,Filter Size,Epoch,Training (Loss),Training (Accuracy),Validation (Loss),Validation (Accuracy),Testing (Loss),Testing (Accuracy)
1024,512,"[3, 7]",12,0.2633563131093979,0.8713146845499674,0.41398125886917114,0.7893452644348145,0.4301992207765579,0.7924253344535828
512,256,"[3, 3]",7,0.2867102598150571,0.861777181426684,0.41740669310092926,0.7823005467653275,0.4313865900039673,0.7943892031908035
512,256,"[3, 7]",7,0.2943135028084119,0.8567167272170385,0.41923999786376953,0.7830002009868622,0.43179985880851746,0.7942306697368622
1024,512,"[3, 3]",12,0.27019911011060077,0.8682662347952524,0.42006826400756836,0.7823338508605957,0.43539702892303467,0.7874172031879425
1024,256,"[3, 7]",11,0.2848816265662511,0.8695806264877319,0.4206639230251312,0.7803305983543396,0.4339177757501602,0.7918618619441986
1024,256,"[3, 3]",12,0.26485220591227215,0.8712900777657827,0.4208507388830185,0.7734194695949554,0.437200203537941,0.7831099033355713
1024,512,"[3, 5]",12,0.27494656046231586,0.8639034032821655,0.42150819301605225,0.7803807258605957,0.43525709211826324,0.7898084819316864
1024,512,"[5, 3]",10,0.27268443008263904,0.8695683181285858,0.4221612811088562,0.7818205058574677,0.4373781532049179,0.7835109531879425
512,256,"[5, 3]",7,0.2623337258895238,0.8728182862202326,0.4233664199709892,0.7819179445505142,0.4328059107065201,0.7902715802192688
512,256,"[3, 5]",7,0.284502017001311,0.8634196619192759,0.4237663224339485,0.7844122052192688,0.43103933334350586,0.7872890383005142
1024,512,"[5, 7]",11,0.26434241235256195,0.8738906979560852,0.42587910592556,0.7798924446105957,0.43747565150260925,0.7870542407035828
1024,512,"[5, 5]",9,0.28575169543425244,0.8584100008010864,0.42662879824638367,0.7803305983543396,0.43209078907966614,0.7850259244441986
512,256,"[5, 5]",6,0.2960099255045255,0.860312337676684,0.427804097533226,0.7792123258113861,0.4343005493283272,0.7901658862829208
1024,256,"[5, 3]",9,0.29118820031483966,0.8544131418069204,0.428208127617836,0.7768374383449554,0.43707211315631866,0.7875675857067108
1024,256,"[3, 5]",10,0.29078047970930737,0.8587232232093811,0.42881907522678375,0.7667710185050964,0.43372897803783417,0.7791284322738647
1024,256,"[5, 5]",11,0.26074378937482834,0.8785729010899862,0.4295884072780609,0.7786903083324432,0.43947841227054596,0.7880057394504547
512,256,"[5, 7]",5,0.34618956844011944,0.8322463085254034,0.4305611029267311,0.7755174487829208,0.43913089483976364,0.7801360487937927
1024,256,"[5, 7]",10,0.29028325776259106,0.8612675368785858,0.4306592345237732,0.7713410258293152,0.44226203858852386,0.7784777283668518
256,128,"[5, 5]",4,0.32943131153782207,0.8363327756524086,0.43335793539881706,0.7644635587930679,0.4376516453921795,0.7702944874763489
512,128,"[5, 7]",6,0.3036695991953214,0.8527040729920069,0.4349847212433815,0.7788297384977341,0.4345398023724556,0.7826831340789795
256,128,"[3, 3]",5,0.29305590068300563,0.8584681923190752,0.4364394098520279,0.7821317538619041,0.44243893399834633,0.7866590172052383
256,128,"[3, 5]",5,0.3073567959169547,0.8473090281089147,0.4365626722574234,0.7745705023407936,0.4351293370127678,0.7870287895202637
512,128,"[5, 3]",6,0.2979716832439105,0.857030525803566,0.43695641309022903,0.7799119800329208,0.4388951435685158,0.7821420133113861
512,128,"[3, 7]",7,0.293121762573719,0.8526594390471777,0.4374599978327751,0.7651176899671555,0.43405596166849136,0.7759655714035034
512,128,"[3, 3]",6,0.33198582877715427,0.8378247966368993,0.4375747814774513,0.7715583592653275,0.43622324615716934,0.7832242697477341
512,128,"[5, 5]",6,0.3041887606183688,0.8476255883773168,0.4381164386868477,0.7637585401535034,0.440783254802227,0.7670708149671555
256,128,"[3, 7]",4,0.3535012863576412,0.8253565231959025,0.438674196600914,0.7653216049075127,0.43589862808585167,0.7690666690468788
512,128,"[3, 5]",7,0.29863641659418744,0.8555805633465449,0.4389992579817772,0.7711229175329208,0.437556654214859,0.7836596965789795
1024,128,"[5, 7]",9,0.2950541426738103,0.863086054722468,0.43910565972328186,0.7632026672363281,0.4382430464029312,0.7663078010082245
1024,128,"[3, 3]",10,0.30903837581475574,0.8487006823221842,0.43971051275730133,0.7638413310050964,0.442194864153862,0.7741954922676086
1024,128,"[3, 7]",11,0.2971310317516327,0.8578372697035471,0.4402042329311371,0.7681105434894562,0.43742918968200684,0.7741704285144806
1024,128,"[5, 5]",9,0.3183949589729309,0.844641367594401,0.440742164850235,0.7713660895824432,0.44220006465911865,0.7750848233699799
256,128,"[5, 7]",5,0.28393084928393364,0.856789434949557,0.44140535593032837,0.7682370692491531,0.43625418469309807,0.7735939398407936
256,128,"[5, 3]",3,0.387611744304498,0.8053059900800387,0.441436018794775,0.7593294903635979,0.43706731125712395,0.7652931585907936
1024,128,"[3, 5]",12,0.26953088243802387,0.867189367612203,0.4422321170568466,0.7798172533512115,0.4434284269809723,0.7824842631816864
1024,128,"[5, 3]",12,0.23897421111663184,0.8883323768774668,0.4426744133234024,0.7695753872394562,0.4455551207065582,0.7747840583324432
256,64,"[3, 3]",5,0.32239492423832417,0.8446227063735327,0.4534860886633396,0.7765094041824341,0.4587962180376053,0.7730013653635979
256,64,"[5, 5]",5,0.29200915433466434,0.860818142692248,0.4540637321770191,0.7768791690468788,0.46178239211440086,0.7736081629991531
256,64,"[5, 7]",4,0.33545813833673793,0.8393539190292358,0.4557305835187435,0.7685926109552383,0.45573852956295013,0.7748359739780426
512,64,"[5, 5]",6,0.31234709918498993,0.8519019931554794,0.45591380447149277,0.7601820379495621,0.4554753825068474,0.7660414129495621
1024,64,"[3, 3]",11,0.31371134519577026,0.8499403099219004,0.45603226125240326,0.7748592495918274,0.4620402902364731,0.7716167271137238
512,64,"[3, 3]",7,0.3031851549943288,0.8492595056692759,0.45703625679016113,0.7737756967544556,0.4589533880352974,0.7762297987937927
512,64,"[3, 7]",6,0.35994957635800046,0.8197020341952642,0.4570516124367714,0.7713998258113861,0.4587571546435356,0.7636528462171555
1024,64,"[5, 7]",10,0.30730053782463074,0.8488608300685883,0.45732252299785614,0.7591710686683655,0.4595848619937897,0.759246289730072
512,64,"[5, 7]",5,0.3583476369579633,0.822057326634725,0.45807093381881714,0.7647351026535034,0.45918579399585724,0.76858851313591
1024,64,"[5, 5]",10,0.2978503853082657,0.8582472403844198,0.4581619054079056,0.7721671760082245,0.4600604325532913,0.7706902921199799
256,64,"[3, 5]",4,0.3735094293951988,0.8091207842032114,0.45826976001262665,0.7613869085907936,0.45475590229034424,0.7699531614780426
1024,64,"[3, 7]",9,0.3511728545029958,0.8253670334815979,0.4593188762664795,0.7697007060050964,0.46093152463436127,0.7641922533512115
256,64,"[5, 3]",4,0.35959581658244133,0.8264446929097176,0.459696501493454,0.7649233937263489,0.4592420943081379,0.7651888653635979
256,64,"[3, 7]",3,0.4174171524743239,0.7881339912613233,0.4618436470627785,0.7529818341135979,0.4600645862519741,0.7475965172052383
512,64,"[3, 5]",5,0.3752068802714348,0.8090216120084127,0.4641905575990677,0.7621753215789795,0.46228648722171783,0.7676647901535034
1024,64,"[3, 5]",11,0.3023340205351512,0.85728653271993,0.4648846834897995,0.761199414730072,0.4608864039182663,0.7735698521137238
512,64,"[5, 3]",6,0.31357619166374207,0.8493925084670385,0.4658605605363846,0.7616997212171555,0.45851460844278336,0.77200648188591
1024,64,"[5, 3]",10,0.2909764846165975,0.8617778221766154,0.466505765914917,0.7570675611495972,0.4639199376106262,0.7623012959957123
